name,url,price,Tốc độ CPU,CPU,Tốc độ BUS,Loại CPU,Tốc độ tối đa,Hãng CPU,Bộ nhớ đệm,Tên đầy đủ (CPU),Số luồng,Số lõi,RAM,Loại RAM,Số khe cắm rời,Tốc độ RAM,Dung lượng nâng cấp tối đa,Số RAM onboard,Tên đầy đủ (RAM),Số khe RAM còn lại,Màn hình cảm ứng,Công nghệ màn hình,Màn hình,Độ phân giải,Tần số quét,Loại cảm ứng,Tấm nền,Tên đầy đủ (Màn hình),Độ tương phản,Độ sáng,Tỷ lệ màn hình,Độ phủ màu,Kiểu màn hình,Card đồ họa,Card rời,Có Card rời,Có Card onbroad,Hãng (Card onbroad),Model (Card onbroad),Model (Card rời),Xung nhịp tối đa (Card onbroad),Xung nhịp (Card onbroad),Đồ họa,Xung nhịp (Card rời),Xung nhịp tối đa (Card rời),Card onbroad,Bộ nhớ đồ họa (Card rời),Kiểu bộ nhớ,Hãng (Card rời),Tên đầy đủ (Card rời),Tổng số khe cắm SSD/HDD,Tốc độ đọc/ghi,Tốc độ quay HDD,Có SSD,Số khe SSD/HDD còn lại,Dung Lượng HDD,Ổ cứng,Dung lượng SSD,Kiểu HDD,Chuẩn M2,Kiểu SSD,Có HDD,Hỗ trợ công nghệ Optane,Khe đọc thẻ nhớ,Bluetooth,Số cổng Gigabit Ethernet,Số cổng HDMI,Số cổng VGA,Wireless,Số cổng Type-C,Số cổng USB 2.0,Webcame,Số cổng 3.5 mm headphone/speaker jack,Số cổng DC-in jack,Số cổng USB 3.0,Số cổng Thunderbolt,Số cổng Card reader,Senser,Công nghệ âm thanh,Số Loa,Nhận diện khuôn mặt,Mở khóa vân tay (Finger Print),Mật khẩu,Ổ đĩa quang,Loại ổ đĩa quang,Bàn phím số,Công nghệ đèn bàn phím,Kiểu bàn phím,TouchPad,Loại đèn bàn phím,Màu đèn LED,PIN có thể tháo rời,Loại PIN,PIN (Cell),Power Supply,Type,Version,Hệ điều hành,Chất liệu mặt bên ngoài cùng,Chất liệu khung màn hình,Width (mm),Tản nhiệt,Height (mm),Bản lề (Hinge / Kickstand),Trọng lượng (kg),Chất liệu mặt lưng,Kích thước (mm),Chất liệu mặt bàn phím + kê tay,Model Series,PN,Thời gian bảo hành,Xuất xứ,Năm ra mắt,Phụ kiện kèm theo (bút / bàn phím/ cáp chuyển…)
Asus TUF Gaming FX506LI-HN039T/i5-10300H,asus-tuf-fx506li-hn039t-i5-10300h,22790000.0,2.50 GHz,Core i5,Đang cập nhật,10300H,5.00 GHz,Intel,8 MB Smart Cache,Intel Core i5-10300H,8,4,8 GB,DDR4,2,2933 MHz,32 GB,0,8 GB DDR4 2933 MHz,1,Không,LED Backlit,"15.6""",1920 x 1080 Pixel,144 Hz,Không,IPS,"15.6"" Anti-glare LED-backlit",Đang cập nhật,250 nits,16:09,45% NTSC,LED,NVIDIA GeForce GTX1650Ti 4Gb,GeForce Series,Có,Có,Intel,630,GTX 1650Ti,1150 MHz,300 MHz,Intel HD Graphics 630,Đang cập nhật,Đang cập nhật,UHD Graphics,4 GB,GDDR6,NVIDIA,NVIDIA GeForce GTX 1650Ti 4 GB,1,Đang cập nhật,Không,Có,0,Không,SSD 512 GB,512 GB,Không,Đang cập nhật,M2. PCIe,Không,Không,Không,v5.1,1,1,0,802.11 ax,0,1,HD Web Camera,1,1,1,0,0,Không,DTS Studio Sound,2,Không,Không,Có,Không,Không,Có,SRGB,Backlit Chiclet Keyboard,Hỗ trợ cử chỉ đa cảm ứng,LED,Đang cập nhật,Không,Lithium-ion,3 Cell,150 W,64 bit,Home Single Language,Windows 10,ABS plastic,ABS plastic,359,2 quạt,24.7,Bản lề đôi,2.3,Kim loại,256,ABS plastic,Asus TUF Gaming,90NR03T1-M02050,24 Tháng,Trung Quốc,2020,"sạc, sách HDSD"
Asus TUF Gaming FX505DT-HN478T/R7-3750H,asus-tuf-fx505dt-hn478t-r7-3750h,19590000.0,2.30 GHz,Ryzen 7,Đang cập nhật,3750H,4.00 GHz,AMD,4 MB L3 Cache,AMD Ryzen 7-3750H,8,4,8 GB,DDR4,2,2400 MHz,32 GB,0,8 GB DDR4 2400 MHz,1,Không,Anti-glare LED-backlit,"15.6""",1920 x 1080 Pixel,144 Hz,Không,IPS,"15.6"" Anti-glare LED-backlit",Đang cập nhật,250 nits,16:09,45% NTSC,LED,GeForce GTX 1650 4GB,GeForce Series,Có,Có,AMD,Đang cập nhật,GTX 1650,Đang cập nhật,Đang cập nhật,AMD Radeon Graphics,Không,Đang cập nhật,Radeon Graphics,4 GB,DDR5,NVIDIA,NVIDIA GeForce GTX 1650 4 GB,1,Không,Không,Có,1,Không,SSD 512 GB,512 GB,Không,Đang cập nhật,M2. PCIe,Không,Không,Không,v5.0,1,1,0,802.11 ac,0,1,Không,1,1,1,0,0,Không,ASUS SonicMaster stereo,2,Không,Không,Có,Không,Không,Có,Đơn sắc,Backlit Chiclet Keyboard,Đang cập nhật,Đang cập nhật,Đang cập nhật,Không,Lithium-Polymer,3 Cell,150 W,64 bit,Đang cập nhật,Windows 10,Nhựa,Nhựa,360,2 quạt,26,Ergolift,2.2,Nhựa,262,Nhựa,Asus TUF Gaming,FX505DT-HN478T,24 Tháng,Trung Quốc,2020,"sạc, sách HDSD"
Acer Aspire Gaming A715-41G-R150/R7-3750H,acer-aspire-gaming-a715-41g-r150-r7-3750h,19190000.0,2.30 GHz,Ryzen 7,8 GT/s,3750H,4.00 GHz,AMD,4 MB L3 Cache,AMD Ryzen 7-3750H,8,4,8 GB,DDR4,2,2666 MHz,32 GB,0,8 GB DDR4 2666 MHz,1,Không,LED-backlit,"15.6""",1920 x 1080 Pixel,60 Hz,Không,IPS,"15.6"" LED-backlit",Đang cập nhật,Đang cập nhật,16:09,Đang cập nhật,LED,GeForce GTX 1650 Ti 4GB,GeForce Series,Có,Có,AMD,Vega 10,GTX 1650Ti,Đang cập nhật,Đang cập nhật,AMD Radeon RX Graphics Vega 10,Đang cập nhật,Đang cập nhật,Radeon RX Graphics,4 GB,GDDR6,NVIDIA,NVIDIA GeForce GTX 1650Ti 4 GB,3,Đang cập nhật,Không,Có,2,Không,SSD 512 GB,512 GB,Không,Đang cập nhật,M2. PCIe,Không,Có,Không,v5.0,1,1,Đang cập nhật,802.11 ax,1,1,HD Web Camera,1,1,2,Đang cập nhật,Đang cập nhật,Không,Acer TrueHarmony,2,Không,Không,Có,Không,Không,Có,Đơn sắc,Đang cập nhật,Đang cập nhật,LED,Red,Không,Lithium-ion,3 Cell,Đang cập nhật,64 bit,Home,Windows 10,Nhựa,Nhựa,363.4,2 quạt,23.25,Đang cập nhật,2.1,Nhựa,254.5,Nhựa,Acer Aspire,NH.Q8SSV.004,12 Tháng,Trung Quốc,2020,"sạc, sách HDSD"
MSI Bravo 15 A4DCR-070VN/R5 4600H,msi-bravo-15-a4dcr-070vn-r5-4600h,19490000.0,3.00 GHz,Ryzen 5,8 GT/s,4600H,4.00 GHz,AMD,8 MB L3 Cache,AMD Ryzen 5-4600H,12,6,8 GB,DDR4,2,3200 MHz,64 GB,0,8 GB DDR4 3200 MHz,1,Không,LED-backlit,"15.6""",1920 x 1080 Pixel,60 Hz,Không,IPS,"15.6"" LED-backlit",Đang cập nhật,Đang cập nhật,16:09,45% NTSC,LED,Radeon RX 5300M 3GB,Radeon Series,Có,Có,AMD,Radeon,RX 5300M,Đang cập nhật,Đang cập nhật,AMD Radeon Graphics,Đang cập nhật,Đang cập nhật,Radeon Graphics,3 GB,GDDR6,AMD,AMD Radeon RX 5300M 3 GB,2,Đang cập nhật,Không,Có,1,Không,SSD 512 GB,512 GB,Không,2280,M2. PCIe,Không,Có,Không,v5.0,1,1,0,802.11 ax,2,0,HD Web Camera,1,1,2,0,0,Không,Đang cập nhật,2,Không,Không,Có,Không,Không,Không,Đơn sắc,Chiclet Keyboard,Đang cập nhật,LED,Red,Không,Lithium-Polymer,3 Cell,180 W,64 bit,Home,Windows 10,Nhôm,Nhựa,359,Cooler Boost,21.7,Hinge,1.96,Nhựa,254,Nhôm,MSI Bravo,15A4DCR070VN,12 Tháng,Trung Quốc,2020,"sac, shdsd"
Acer Aspire Gaming A715-41G-R282/R5-3550H,acer-aspire-gaming-a715-41g-r282-r5-3550h,18190000.0,2.10 GHz,Ryzen 5,8 GT/s,3550H,3.70 GHz,AMD,4 MB L3 Cache,AMD Ryzen 5-3550H,8,4,8 GB,DDR4,2,2666 MHz,32 GB,0,8 GB DDR4 2666 MHz,1,Không,LED-backlit,"15.6""",1920 x 1080 Pixel,60 Hz,Không,IPS,"15.6"" LED-backlit",Đang cập nhật,Đang cập nhật,16:09,Đang cập nhật,LED,GeForce GTX 1650 Ti 4GB,GeForce Series,Có,Có,AMD,Vega 10,GTX 1650Ti,Đang cập nhật,Đang cập nhật,AMD Radeon RX Graphics Vega 10,Đang cập nhật,Đang cập nhật,Radeon RX Graphics,4 GB,GDDR6,NVIDIA,NVIDIA GeForce GTX 1650Ti 4 GB,3,Đang cập nhật,Không,Có,2,Không,SSD 512 GB,512 GB,Không,Đang cập nhật,M2. PCIe,Không,Có,Không,v5.0,1,1,Đang cập nhật,802.11 ax,1,1,HD Web Camera,1,1,2,Đang cập nhật,Đang cập nhật,Không,Acer TrueHarmony,2,Không,Không,Có,Không,Không,Có,Đơn sắc,Đang cập nhật,Đang cập nhật,LED,Red,Không,Lithium-ion,3 Cell,Đang cập nhật,64 bit,Home,Windows 10,Nhựa,Nhựa,363.4,2 quạt,23.25,Đang cập nhật,2.1,Nhựa,254.5,Nhựa,Acer Aspire,NH.Q8SSV.005,12 Tháng,Trung Quốc,2020,"sạc, sách HDSD"
Asus TUF FX505GT-HN111T/I5-9300H,asus-tuf-fx505gt-hn111t-i5-9300h,19990000.0,2.40 GHz,Core i5,Đang cập nhật,9300H,4.10 GHz,Intel,8 MB L3 Cache,Intel Core i5-9300H,8,4,8 GB,DDR4,2,2666 MHz,32 GB,0,8 GB DDR4 2666 MHz,1,Không,Anti-glare LED-backlit,"15.6""",1920 x 1080 Pixel,144 Hz,Không,IPS,"15.6"" LED-backlit",Đang cập nhật,250 nits,16:09,Đang cập nhật,LED,GeForce GTX 1650-4GB,GeForce Series,Có,Có,Intel,UHD,GTX 1650,Đang cập nhật,Đang cập nhật,Intel UHD Graphics 630,Đang cập nhật,Đang cập nhật,UHD Graphics,4 GB,DDR5,NVIDIA,NVIDIA GeForce GTX 1650 4 GB,1,Đang cập nhật,Không,Có,1,Không,SSD 512 GB,512 GB,Không,Đang cập nhật,M2. PCIe,Không,Đang cập nhật,Không,v5.0,1,1,0,802.11 ac,0,1,720p FaceTime HD camera,1,1,2,0,0,Không,DTS Studio Sound,2,Không,Không,Có,Không,Không,Có,SRGB,Chiclet Keyboard,Đang cập nhật,LED,Đang cập nhật,Không,Lithium-Polymer,3 Cell,Đang cập nhật,64 bit,Home,Windows 10,Nhôm,Nhựa,360,Đang cập nhật,26.8,Đang cập nhật,2.2,Nhựa,262,Nhựa,Asus TUF Gaming,FX505GT-HN111T,24 Tháng,Trung Quốc,2020,"sạc, sách HDSD"
HP Pavilion Gaming 15-dk1083TX i5 10300H/206R0PA,hp-pavilion-gaming-15-dk1083tx-i5-10300h,22290000.0,2.50 GHz,Core i5,8 GT/s,10300H,4.50 GHz,Intel,8 MB L3 Cache,Intel Core i5-10300H,8,4,8 GB,DDR4,2,3200 MHz,64 GB,0,8 GB DDR4 2933 MHz,1,Không,Anti-glare WLED-backlit,"15.6""",1920 x 1080 Pixel,144 Hz,Không,IPS,"15.6"" Anti-glare WLED-backlit",Đang cập nhật,250 nits,16:09,Đang cập nhật,LED,GeForce GTX 1650 4GB,GeForce Series,Có,Có,Intel,UHD,GTX 1650,1050 MHz,350 MHz,Intel UHD Graphics,1410 MHz,1590 MHz,UHD Graphics,4 GB,GDDR6,NVIDIA,NVIDIA GeForce GTX 1650 4 GB,1,Đang cập nhật,Không,Có,1,Không,SSD 512 GB,512 GB,Không,Không,M2. PCIe,Không,Đang cập nhật,"SD, SDXC, SDHC",v5.0,1,1,0,802.11 ax,1,0,HD Web Camera,1,1,3,0,1,Không,Audio by B&O,2,Không,Không,Có,Không,Không,Có,Đơn sắc,Backlit Chiclet Keyboard,Multi-touch touchpad,LED,Xanh axit,Không,Lithium-ion,3 Cell,150 W,64 bit,Home Single Language,Windows 10,Nhựa,Nhựa,360,2 quạt,23.4,Bản lề đơn,2.3,Nhựa,230,Nhựa,HP Pavilion,206R0PA,12 Tháng,Trung Quốc,2020,"Sạc, Sách HDSD"
Dell Gaming G3 15 3500 i5 10300H/70223130,dell-g3-15-3500-i5-10300h,22590000.0,2.50 GHz,Core i5,Đang cập nhật,10300H,4.50 GHz,Intel,8 MB L3 Cache,Intel Core i5-10300H,8,4,8 GB,DDR4,2,2933 MHz,16 GB,0,8 GB DDR4 2933 MHz,0,Không,Anti-glare WLED-backlit,"15.6""",1920 x 1080 Pixel,60 Hz,Không,IPS,15.6'' WVA Anti-glare LED Backlit Narrow Border,600:1,250 nits,16:09,Đang cập nhật,LED,GeForce GTX 1650 4GB,GeForce Series,Có,Có,Intel,UHD,GTX 1650,350 MHz,350 MHz,Intel UHD Graphics,1410 MHz,1590 MHz,UHD Graphics,4 GB,GDDR6,NVIDIA,NVIDIA GeForce GTX 1650 4 GB,2,Đang cập nhật,5400 rpm,Có,0,1 TB,HDD 1000 GB & SSD 256 GB,256 GB,SATA 3,2280,M2. PCIe,Có,Có,SD-card reader,Đang cập nhật,1,1,0,802.11 ac,0,2,RGB HD Camera,1,1,1,0,1,FingerPrint,Realtek ALC3254 with Nahimic 3D Audio for Gamers,2,Không,Có,Có,Không,Không,Có,Đơn sắc,QWERTY Backlit Keyboard with G-Key - Blue Print,Multi-touch touchpad,LED,Blue,Không,Lithium-ion,3 Cell,180 W,64 bit,Home Single Language,Windows 10,ABS plastic,Nhựa,Đang cập nhật,Đang cập nhật,Đang cập nhật,Đang cập nhật,2.34,Đang cập nhật,254,Đang cập nhật,Dell G Gaming,70223130,12 Tháng,Trung Quốc,2020,"Sạc, sách HDSD"
ASUS TUF Gaming FX505DT-HN488T/R5-3550H,asus-tuf-fx505dt-hn488t-r5-3550h,18590000.0,2.10 GHz,Ryzen 5,2400 MHz,3550H,3.70 GHz,AMD,4 MB Smart Cache,AMD Ryzen 5-3550H,8,4,8 GB,DDR4,2,2400 MHz,32 GB,0,8 GB DDR4 2400 MHz,1,Không,LED Backlit,"15.6""",1920 x 1080 Pixel,144 Hz,Không,IPS,"15.6"" Anti-glare LED-backlit",Đang cập nhật,Đang cập nhật,16:09,45% NTSC,LED,GeForce GTX 1650 4GB,GeForce Series,Có,Có,AMD,Vega 8,GTX 1650,Đang cập nhật,Đang cập nhật,AMD Radeon Graphics Vega 8,Đang cập nhật,Đang cập nhật,Radeon Graphics,4 GB,GDDR5,NVIDIA,NVIDIA GeForce GTX 1650 4 GB,2,Đang cập nhật,Không,Không,1,Đang cập nhật,SSD 512 GB,512 GB,Đang cập nhật,2280,M2. PCIe,Không,Có,Không,v4.2,1,1,0,802.11 ac,0,1,HD Web Camera,1,1,2,0,0,Không,ASUS SonicMaster stereo,2,Không,Không,Không,Không,Không,Có,SRGB,Backlit Chiclet Keyboard,2-button Mylar surface multi-touch touchpad,LED,Đang cập nhật,Không,Lithium-Polymer,3 Cell,150 W,64 bit,Home,Windows 10,Vỏ nhựa,Nhựa,360,2 quạt,26.8,Bản lề đôi,2.14,Nhựa,262,Nhựa,Asus TUF Gaming,FX505DT-HN488T,24 Tháng,Trung Quốc,2019,"sạc, sách HDSD"
Asus Strix G531GT-HN553T/I5-9300H,asus-strix-g531gt-hn553t-i5-9300,22590000.0,2.40 GHz,Core i5,Đang cập nhật,9300H,4.10 GHz,Intel,8 MB L3 Cache,Intel Core i5-9300H,8,4,8 GB,DDR4,2,2666 MHz,32 GB,0,8 GB LPDDR4 2666 MHz,1,Không,Anti-glare LED-backlit,"15.6""",1920 x 1080 Pixel,144 Hz,Không,IPS,"15.6"" LED-backlit",Đang cập nhật,250 nits,Đang cập nhật,Đang cập nhật,LED,GeForce GTX 1650 4GB,GeForce Series,Có,Có,Intel,630,GTX 1650,Đang cập nhật,Đang cập nhật,Intel HD Graphics 630,Đang cập nhật,Đang cập nhật,UHD Graphics,4 GB,DDR5,NVIDIA,NVIDIA GeForce GTX 1650 4 GB,1,Đang cập nhật,Không,Có,1,Không,SSD 512 GB,512 GB,Không,Đang cập nhật,M2. PCIe,Không,Đang cập nhật,N/A,v5.0,0,1,0,802.11 ac,0,0,Không,1,0,3,0,Đang cập nhật,Không,Đang cập nhật,2,Không,Không,Không,Không,Không,Có,SRGB,Backlit Chiclet Keyboard,Đang cập nhật,LED,Đang cập nhật,Không,Lithium-Polymer,3 Cell,Đang cập nhật,64 bit,Home,Windows 10,Vỏ nhựa,Nhựa,360,Đang cập nhật,25.8,Đang cập nhật,2.42,Nhựa,275,Nhựa,Asus ROG,G531GT-HN553T,24 Tháng,Trung Quốc,2020,"Sạc, HDSD"
MSI Leopard Gaming GL65 10SCXK-089VN/i7-10750H,msi-leopard-gl65-10scxk-089vn-i7-10750h,24590000.0,2.60 GHz,Core i7,Đang cập nhật,10750H,5.00 GHz,Intel,12 MB Smart Cache,Intel Core i7-10750H,12,6,8 GB,DDR4,2,2666 MHz,64 GB,0,8 GB DDR4 2666 MHz,1,Không,"IPS LCD LED Backlit, True Tone","15.6""",1920 x 1080 Pixel,144 Hz,Không,IPS,Đang cập nhật,Đang cập nhật,Đang cập nhật,16:09,45% NTSC,LED,GeForce GTX 1650 4GB,GeForce Series,Có,Có,Intel,Đang cập nhật,GTX 1650,Đang cập nhật,Đang cập nhật,Intel UHD Graphics 630,Đang cập nhật,Đang cập nhật,UHD Graphics,4 GB,GDDR6,NVIDIA,NVIDIA GeForce GTX 1650 4 GB,2,Đang cập nhật,Không,Có,1,Không,SSD 512 GB,512 GB,Không,2280,M2. PCIe,Không,Không,Có,Đang cập nhật,1,1,0,802.11 ax Wi-Fi 6,1,0,720p FaceTime HD camera,1,0,3,0,0,Không,Đang cập nhật,2,Không,Không,Không,Không,Không,Có,SRGB,Đang cập nhật,Multi-touch touchpad,Đang cập nhật,Đang cập nhật,Không,Lithium-Polymer,6 Cell,180 W,64 bit,Home Single Language,Windows 10,Nhôm,Đang cập nhật,357,2 quạt,27.5,Bản lề đôi,2.3,Đang cập nhật,248,Nhôm,MSI GL,089VN,24 Tháng,Trung Quốc,2020,"sạc, sách HDSD"
MSI GF63 Thin 10SCXR-427VN/Core i5-10300H,msi-gf63-thin-10scxr-427vn-i5-10300h,21190000.0,2.50 GHz,Core i5,8 GT/s,10300H,4.50 GHz,Intel,8 MB Smart Cache,Intel Core i5-10300H,8,4,8 GB,DDR4,2,2666 MHz,32 GB,0,8 GB DDR4 2666 MHz,1,Không,LED-backlit,"15.6""",1920 x 1080 Pixel,60 Hz,Không,IPS,"15.6"" LED-backlit",Đang cập nhật,Đang cập nhật,16:09,45% NTSC,LED,GeForce GTX 1650 MaxQ 4GB,GeForce Series,Có,Có,Intel,UHD,GTX 1650 Max-Q,Đang cập nhật,Đang cập nhật,Intel UHD Graphics,Đang cập nhật,Đang cập nhật,UHD Graphics,4 GB,GDDR6,NVIDIA,NVIDIA GeForce GTX 1650 Max-Q 4 GB,2,Đang cập nhật,Không,Có,1,Không,SSD 512 GB,512 GB,Không,2280,M2. PCIe,Không,Không,Không,v5.0,1,1,0,802.11 ax,1,0,VGA Web Camera,1,1,3,0,0,Không,Đang cập nhật,2,Không,Không,Có,Không,Không,Không,Đơn sắc,Chiclet Keyboard,Đang cập nhật,LED,Red,Không,Lithium-Polymer,3 Cell,120 W,64 bit,Home,Windows 10,Nhôm,Nhựa,359,Cooler Boost,21.7,Hinge,1.86,Nhựa,254,Nhôm,MSI GF,427VN,12 Tháng,Trung Quốc,2020,"Adapter Sạc, HDSD"
